"","major","year","men","women","type"
"1","30",2019,1427514,1172170,1
"2","令和元年度",2019,1425186,1183962,1
"3","文学",2019,39687,96519,1
"4","史学",2019,14401,11380,1
"5","哲学",2019,18036,27657,1
"6","その他",2019,54658,102825,1
"7","法学・政治学",2019,104933,52633,1
"8","商学・経済学",2019,322066,138147,1
"9","社会学",2019,61759,73764,1
"10","その他",2019,50079,33027,1
"11","数学",2019,12697,2994,1
"12","物理学",2019,9590,1760,1
"13","化学",2019,7350,3392,1
"14","生物学",2019,6042,3836,1
"15","地学",2019,2057,751,1
"16","その他",2019,18534,8994,1
"17","機械工学",2019,59983,3753,1
"18","電気通信工学",2019,97138,9863,1
"19","土木建築工学",2019,43619,12056,1
"20","応用化学",2019,23119,8298,1
"21","応用理学",2019,8060,1041,1
"22","原子力工学",2019,370,38,1
"23","鉱山学",2019,0,0,1
"24","金属工学",2019,6,0,1
"25","繊維工学",2019,221,93,1
"26","船舶工学",2019,1093,65,1
"27","航空工学",2019,1874,256,1
"28","経営工学",2019,5565,1225,1
"29","工芸学",2019,1392,870,1
"30","その他",2019,79452,21002,1
"31","農学",2019,6028,4397,1
"32","農芸化学",2019,3089,3066,1
"33","農業工学",2019,1780,762,1
"34","農業経済学",2019,1084,1264,1
"35","林学",2019,1037,545,1
"36","林産学",2019,0,0,1
"37","獣医学畜産学",2019,4498,6335,1
"38","水産学",2019,4799,2012,1
"39","その他",2019,19997,16407,1
"40","医学",2019,37629,19351,1
"41","歯学",2019,8666,6463,1
"42","薬学",2019,29142,43725,1
"43","看護学",2019,8323,80382,1
"44","その他",2019,41594,57540,1
"45","商船学",2019,331,75,1
"46","家政学",2019,1834,17754,1
"47","食物学",2019,3988,35213,1
"48","被服学",2019,499,5456,1
"49","住居学",2019,331,887,1
"50","児童学",2019,359,4735,1
"51","その他",2019,0,545,1
"52","教育学",2019,13662,26864,1
"53","小学校課程",2019,5442,6745,1
"54","中学校課程",2019,318,298,1
"55","高等学校課程",2019,0,0,1
"56","特別教科課程",2019,0,0,1
"57","盲学校課程",2019,0,0,1
"58","聾学校課程",2019,0,0,1
"59","中等教育学校課程",2019,2386,1672,1
"60","養護学校課程",2019,2,42,1
"61","幼稚園課程",2019,4,77,1
"62","体育学",2019,24179,13567,1
"63","障害児教育課程",2019,0,0,1
"64","特別支援教育課程",2019,265,954,1
"65","その他",2019,30964,61902,1
"66","美術",2019,3474,9409,1
"67","デザイン",2019,6090,12557,1
"68","音楽",2019,3486,11837,1
"69","その他",2019,9554,16513,1
"70","教養学",2019,2558,4155,1
"71","総合科学",2019,293,272,1
"72","教養課程（文科）",2019,2864,2392,1
"73","教養課程（理科）",2019,4976,907,1
"74","教養課程（その他）",2019,1989,891,1
"75","人文・社会科学",2019,14317,18799,1
"76","国際関係学（国際関係学部）",2019,6199,11478,1
"77","人間関係科学",2019,10424,5094,1
"78","その他",2019,62951,54384,1
"79","29",2018,1426649,1156021,1
"80","30",2018,1427514,1172170,1
"81","文学",2018,40051,97210,1
"82","史学",2018,14472,11550,1
"83","哲学",2018,17414,26844,1
"84","その他",2018,54681,102941,1
"85","法学・政治学",2018,106714,51997,1
"86","商学・経済学",2018,322444,136990,1
"87","社会学",2018,61943,74165,1
"88","その他",2018,50312,32675,1
"89","数学",2018,12799,2984,1
"90","物理学",2018,9875,1804,1
"91","化学",2018,7538,3389,1
"92","生物学",2018,5806,3829,1
"93","地学",2018,2136,779,1
"94","その他",2018,18523,8996,1
"95","機械工学",2018,62802,3775,1
"96","電気通信工学",2018,99720,9864,1
"97","土木建築工学",2018,45220,11705,1
"98","応用化学",2018,23812,8480,1
"99","応用理学",2018,8167,1036,1
"100","原子力工学",2018,370,34,1
"101","鉱山学",2018,0,0,1
"102","金属工学",2018,32,2,1
"103","繊維工学",2018,339,123,1
"104","船舶工学",2018,1062,69,1
"105","航空工学",2018,1813,239,1
"106","経営工学",2018,6070,1291,1
"107","工芸学",2018,1352,832,1
"108","その他",2018,74119,19996,1
"109","農学",2018,6196,4565,1
"110","農芸化学",2018,3086,3123,1
"111","農業工学",2018,1773,791,1
"112","農業経済学",2018,1067,1285,1
"113","林学",2018,1081,556,1
"114","林産学",2018,0,0,1
"115","獣医学畜産学",2018,4582,6126,1
"116","水産学",2018,4760,1988,1
"117","その他",2018,19797,16154,1
"118","医学",2018,37838,18921,1
"119","歯学",2018,8803,6412,1
"120","薬学",2018,30108,44273,1
"121","看護学",2018,8543,77964,1
"122","その他",2018,41054,55356,1
"123","商船学",2018,333,62,1
"124","家政学",2018,1908,17981,1
"125","食物学",2018,3878,35549,1
"126","被服学",2018,353,5222,1
"127","住居学",2018,332,873,1
"128","児童学",2018,366,4647,1
"129","その他",2018,0,519,1
"130","教育学",2018,13484,25706,1
"131","小学校課程",2018,5516,6637,1
"132","中学校課程",2018,381,341,1
"133","高等学校課程",2018,0,0,1
"134","特別教科課程",2018,0,0,1
"135","盲学校課程",2018,0,0,1
"136","聾学校課程",2018,0,0,1
"137","中等教育学校課程",2018,2337,1617,1
"138","養護学校課程",2018,1,45,1
"139","幼稚園課程",2018,7,111,1
"140","体育学",2018,23654,13324,1
"141","障害児教育課程",2018,0,0,1
"142","特別支援教育課程",2018,294,1006,1
"143","その他",2018,31877,63610,1
"144","美術",2018,3128,8895,1
"145","デザイン",2018,5943,12549,1
"146","音楽",2018,3426,11866,1
"147","その他",2018,9229,16325,1
"148","教養学",2018,3405,3980,1
"149","総合科学",2018,299,268,1
"150","教養課程（文科）",2018,2784,2365,1
"151","教養課程（理科）",2018,4951,923,1
"152","教養課程（その他）",2018,2107,914,1
"153","人文・社会科学",2018,13479,17889,1
"154","国際関係学（国際関係学部）",2018,5925,10919,1
"155","人間関係科学",2018,9539,4723,1
"156","その他",2018,60304,52191,1
"157","28",2017,1425605,1141425,1
"158","29",2017,1426649,1156021,1
"159","文学",2017,40335,97064,1
"160","史学",2017,14347,11603,1
"161","哲学",2017,17167,26283,1
"162","その他",2017,54950,102872,1
"163","法学・政治学",2017,107172,51067,1
"164","商学・経済学",2017,321823,134478,1
"165","社会学",2017,61808,74444,1
"166","その他",2017,50476,31988,1
"167","数学",2017,13038,2930,1
"168","物理学",2017,10119,1751,1
"169","化学",2017,7960,3361,1
"170","生物学",2017,5716,3795,1
"171","地学",2017,2199,805,1
"172","その他",2017,18447,8887,1
"173","機械工学",2017,64791,3563,1
"174","電気通信工学",2017,102603,9722,1
"175","土木建築工学",2017,46311,11382,1
"176","応用化学",2017,24540,8410,1
"177","応用理学",2017,8037,1002,1
"178","原子力工学",2017,365,31,1
"179","鉱山学",2017,0,0,1
"180","金属工学",2017,67,8,1
"181","繊維工学",2017,433,163,1
"182","船舶工学",2017,253,45,1
"183","航空工学",2017,1667,205,1
"184","経営工学",2017,6664,1315,1
"185","工芸学",2017,1379,876,1
"186","その他",2017,71639,19253,1
"187","農学",2017,6444,4708,1
"188","農芸化学",2017,3038,3202,1
"189","農業工学",2017,1792,798,1
"190","農業経済学",2017,1102,1250,1
"191","林学",2017,1165,590,1
"192","林産学",2017,0,0,1
"193","獣医学畜産学",2017,4574,6051,1
"194","水産学",2017,4634,1981,1
"195","その他",2017,19618,15729,1
"196","医学",2017,37608,18675,1
"197","歯学",2017,8899,6379,1
"198","薬学",2017,30729,44328,1
"199","看護学",2017,8582,74343,1
"200","その他",2017,41096,54050,1
"201","商船学",2017,347,51,1
"202","家政学",2017,1935,18060,1
"203","食物学",2017,3754,35205,1
"204","被服学",2017,316,5098,1
"205","住居学",2017,302,797,1
"206","児童学",2017,349,4626,1
"207","その他",2017,0,506,1
"208","教育学",2017,13369,24974,1
"209","小学校課程",2017,5507,6312,1
"210","中学校課程",2017,406,326,1
"211","高等学校課程",2017,0,0,1
"212","特別教科課程",2017,0,0,1
"213","盲学校課程",2017,0,0,1
"214","聾学校課程",2017,0,0,1
"215","中等教育学校課程",2017,2328,1549,1
"216","養護学校課程",2017,1,44,1
"217","幼稚園課程",2017,10,120,1
"218","体育学",2017,22783,13087,1
"219","障害児教育課程",2017,0,0,1
"220","特別支援教育課程",2017,298,1052,1
"221","その他",2017,33451,65536,1
"222","美術",2017,2863,8390,1
"223","デザイン",2017,5751,12289,1
"224","音楽",2017,3431,12070,1
"225","その他",2017,8857,16690,1
"226","教養学",2017,3197,3896,1
"227","総合科学",2017,303,278,1
"228","教養課程（文科）",2017,2597,2127,1
"229","教養課程（理科）",2017,4892,937,1
"230","教養課程（その他）",2017,2133,924,1
"231","人文・社会科学",2017,12611,17099,1
"232","国際関係学（国際関係学部）",2017,5571,10398,1
"233","人間関係科学",2017,8558,4353,1
"234","その他",2017,57142,49840,1
"235","27",2016,1428690,1127372,1
"236","28",2016,1425605,1141425,1
"237","文学",2016,40208,97541,1
"238","史学",2016,14108,11673,1
"239","哲学",2016,17314,26632,1
"240","その他",2016,55085,103659,1
"241","法学・政治学",2016,107847,50004,1
"242","商学・経済学",2016,321554,131370,1
"243","社会学",2016,62290,75586,1
"244","その他",2016,49816,30932,1
"245","数学",2016,13123,2974,1
"246","物理学",2016,10583,1773,1
"247","化学",2016,8255,3506,1
"248","生物学",2016,5515,3776,1
"249","地学",2016,2276,814,1
"250","その他",2016,18098,8597,1
"251","機械工学",2016,66995,3415,1
"252","電気通信工学",2016,103476,9546,1
"253","土木建築工学",2016,46705,10937,1
"254","応用化学",2016,25679,8469,1
"255","応用理学",2016,7970,957,1
"256","原子力工学",2016,357,34,1
"257","鉱山学",2016,0,0,1
"258","金属工学",2016,107,12,1
"259","繊維工学",2016,540,182,1
"260","船舶工学",2016,307,54,1
"261","航空工学",2016,2098,257,1
"262","経営工学",2016,7159,1281,1
"263","工芸学",2016,1364,931,1
"264","その他",2016,67963,17967,1
"265","農学",2016,6588,4872,1
"266","農芸化学",2016,2870,3176,1
"267","農業工学",2016,1847,811,1
"268","農業経済学",2016,1124,1222,1
"269","林学",2016,1258,603,1
"270","林産学",2016,0,0,1
"271","獣医学畜産学",2016,4681,6072,1
"272","水産学",2016,4644,1910,1
"273","その他",2016,19403,15323,1
"274","医学",2016,37317,18382,1
"275","歯学",2016,9072,6250,1
"276","薬学",2016,31169,43987,1
"277","看護学",2016,8469,70231,1
"278","その他",2016,40715,52864,1
"279","商船学",2016,322,43,1
"280","家政学",2016,2094,18460,1
"281","食物学",2016,3646,35001,1
"282","被服学",2016,326,5227,1
"283","住居学",2016,373,885,1
"284","児童学",2016,336,4599,1
"285","その他",2016,0,445,1
"286","教育学",2016,12550,23436,1
"287","小学校課程",2016,5383,6043,1
"288","中学校課程",2016,414,318,1
"289","高等学校課程",2016,0,0,1
"290","特別教科課程",2016,0,0,1
"291","盲学校課程",2016,0,0,1
"292","聾学校課程",2016,0,0,1
"293","中等教育学校課程",2016,2331,1473,1
"294","養護学校課程",2016,0,44,1
"295","幼稚園課程",2016,12,137,1
"296","体育学",2016,22227,12832,1
"297","障害児教育課程",2016,0,0,1
"298","特別支援教育課程",2016,310,1103,1
"299","その他",2016,34974,67316,1
"300","美術",2016,2573,7957,1
"301","デザイン",2016,5557,12072,1
"302","音楽",2016,3472,12358,1
"303","その他",2016,8886,16816,1
"304","教養学",2016,2987,3666,1
"305","総合科学",2016,303,281,1
"306","教養課程（文科）",2016,2522,1812,1
"307","教養課程（理科）",2016,5428,993,1
"308","教養課程（その他）",2016,2087,971,1
"309","人文・社会科学",2016,11776,15861,1
"310","国際関係学（国際関係学部）",2016,5054,9543,1
"311","人間関係科学",2016,7990,4141,1
"312","その他",2016,55723,49010,1
"313","26",2015,1434244,1117778,1
"314","27",2015,1428690,1127372,1
"315","文学",2015,40133,97156,1
"316","史学",2015,13912,11705,1
"317","哲学",2015,17426,26923,1
"318","その他",2015,55666,105364,1
"319","法学・政治学",2015,108370,48569,1
"320","商学・経済学",2015,324278,128903,1
"321","社会学",2015,62981,76657,1
"322","その他",2015,48578,29894,1
"323","数学",2015,13224,2983,1
"324","物理学",2015,10770,1756,1
"325","化学",2015,8607,3538,1
"326","生物学",2015,5492,3832,1
"327","地学",2015,2333,833,1
"328","その他",2015,18254,8489,1
"329","機械工学",2015,67015,3152,1
"330","電気通信工学",2015,105801,9111,1
"331","土木建築工学",2015,47532,10617,1
"332","応用化学",2015,26454,8585,1
"333","応用理学",2015,7520,856,1
"334","原子力工学",2015,343,31,1
"335","鉱山学",2015,0,0,1
"336","金属工学",2015,160,15,1
"337","繊維工学",2015,617,223,1
"338","船舶工学",2015,423,60,1
"339","航空工学",2015,2028,226,1
"340","経営工学",2015,7542,1274,1
"341","工芸学",2015,1426,915,1
"342","その他",2015,69352,17890,1
"343","農学",2015,6883,4913,1
"344","農芸化学",2015,2776,2946,1
"345","農業工学",2015,1871,804,1
"346","農業経済学",2015,1160,1206,1
"347","林学",2015,1321,609,1
"348","林産学",2015,0,0,1
"349","獣医学畜産学",2015,4713,6101,1
"350","水産学",2015,4455,2065,1
"351","その他",2015,18755,14820,1
"352","医学",2015,37014,18119,1
"353","歯学",2015,9199,6083,1
"354","薬学",2015,31779,43923,1
"355","看護学",2015,8090,66191,1
"356","その他",2015,39908,51521,1
"357","商船学",2015,217,28,1
"358","家政学",2015,2049,18608,1
"359","食物学",2015,4068,34810,1
"360","被服学",2015,330,5354,1
"361","住居学",2015,329,894,1
"362","児童学",2015,324,4565,1
"363","その他",2015,0,380,1
"364","教育学",2015,11871,22121,1
"365","小学校課程",2015,5284,5892,1
"366","中学校課程",2015,428,331,1
"367","高等学校課程",2015,0,0,1
"368","特別教科課程",2015,0,0,1
"369","盲学校課程",2015,0,0,1
"370","聾学校課程",2015,0,0,1
"371","中等教育学校課程",2015,2265,1379,1
"372","養護学校課程",2015,0,45,1
"373","幼稚園課程",2015,14,134,1
"374","体育学",2015,21929,12892,1
"375","障害児教育課程",2015,0,0,1
"376","特別支援教育課程",2015,309,1114,1
"377","その他",2015,36004,68206,1
"378","美術",2015,2482,7930,1
"379","デザイン",2015,5300,11703,1
"380","音楽",2015,3564,12576,1
"381","その他",2015,8776,16814,1
"382","教養学",2015,1855,3167,1
"383","総合科学",2015,312,277,1
"384","教養課程（文科）",2015,2423,1529,1
"385","教養課程（理科）",2015,5472,1007,1
"386","教養課程（その他）",2015,2096,964,1
"387","人文・社会科学",2015,10665,14417,1
"388","国際関係学（国際関係学部）",2015,4604,8581,1
"389","人間関係科学",2015,6924,4035,1
"390","その他",2015,54635,48761,1
"391","25",2014,1448256,1113812,1
"392","26",2014,1434244,1117778,1
"393","文学",2014,39679,97682,1
"394","史学",2014,13636,11802,1
"395","哲学",2014,17930,27456,1
"396","その他",2014,56470,106546,1
"397","法学・政治学",2014,109523,48287,1
"398","商学・経済学",2014,328730,127736,1
"399","社会学",2014,64301,78151,1
"400","その他",2014,48632,29853,1
"401","数学",2014,13276,3055,1
"402","物理学",2014,10994,1751,1
"403","化学",2014,8962,3584,1
"404","生物学",2014,5482,3797,1
"405","地学",2014,2392,828,1
"406","その他",2014,18269,8294,1
"407","機械工学",2014,67002,2820,1
"408","電気通信工学",2014,107310,8659,1
"409","土木建築工学",2014,46988,9981,1
"410","応用化学",2014,26650,8019,1
"411","応用理学",2014,7151,774,1
"412","原子力工学",2014,377,24,1
"413","鉱山学",2014,0,0,1
"414","金属工学",2014,220,23,1
"415","繊維工学",2014,622,220,1
"416","船舶工学",2014,553,65,1
"417","航空工学",2014,2022,200,1
"418","経営工学",2014,7655,1204,1
"419","工芸学",2014,1416,946,1
"420","その他",2014,70035,17340,1
"421","農学",2014,6855,5091,1
"422","農芸化学",2014,2608,2832,1
"423","農業工学",2014,1845,813,1
"424","農業経済学",2014,1259,1169,1
"425","林学",2014,1347,657,1
"426","林産学",2014,0,0,1
"427","獣医学畜産学",2014,4787,6059,1
"428","水産学",2014,4578,1949,1
"429","その他",2014,18829,14915,1
"430","医学",2014,36596,17660,1
"431","歯学",2014,9138,5892,1
"432","薬学",2014,32137,43572,1
"433","看護学",2014,7484,62269,1
"434","その他",2014,38602,49748,1
"435","商船学",2014,104,15,1
"436","家政学",2014,2168,18906,1
"437","食物学",2014,3608,34285,1
"438","被服学",2014,318,5513,1
"439","住居学",2014,301,931,1
"440","児童学",2014,301,4449,1
"441","その他",2014,0,311,1
"442","教育学",2014,11073,20867,1
"443","小学校課程",2014,5237,5873,1
"444","中学校課程",2014,431,328,1
"445","高等学校課程",2014,0,0,1
"446","特別教科課程",2014,0,0,1
"447","盲学校課程",2014,0,0,1
"448","聾学校課程",2014,0,0,1
"449","中等教育学校課程",2014,2172,1325,1
"450","養護学校課程",2014,0,48,1
"451","幼稚園課程",2014,12,139,1
"452","体育学",2014,21704,12731,1
"453","障害児教育課程",2014,0,0,1
"454","特別支援教育課程",2014,303,1109,1
"455","その他",2014,36165,68032,1
"456","美術",2014,2438,8003,1
"457","デザイン",2014,5133,11241,1
"458","音楽",2014,3622,13157,1
"459","その他",2014,8729,16840,1
"460","教養学",2014,1687,2781,1
"461","総合科学",2014,314,279,1
"462","教養課程（文科）",2014,2407,1609,1
"463","教養課程（理科）",2014,5516,959,1
"464","教養課程（その他）",2014,2092,948,1
"465","人文・社会科学",2014,9938,13906,1
"466","国際関係学（国際関係学部）",2014,4492,7907,1
"467","人間関係科学",2014,7101,3915,1
"468","その他",2014,54536,49648,1
"469","24",2013,1459265,1101644,1
"470","25",2013,1448256,1113812,1
"471","文学",2013,39336,99047,1
"472","史学",2013,13500,12062,1
"473","哲学",2013,18355,28229,1
"474","その他",2013,57690,108963,1
"475","法学・政治学",2013,111641,48092,1
"476","商学・経済学",2013,338594,128082,1
"477","社会学",2013,65239,79355,1
"478","その他",2013,48002,29647,1
"479","数学",2013,13336,3190,1
"480","物理学",2013,11070,1794,1
"481","化学",2013,8933,3609,1
"482","生物学",2013,5461,3770,1
"483","地学",2013,2442,821,1
"484","その他",2013,18125,7939,1
"485","機械工学",2013,67492,2553,1
"486","電気通信工学",2013,109974,8313,1
"487","土木建築工学",2013,47493,9543,1
"488","応用化学",2013,27482,7899,1
"489","応用理学",2013,6866,702,1
"490","原子力工学",2013,394,21,1
"491","鉱山学",2013,0,0,1
"492","金属工学",2013,279,33,1
"493","繊維工学",2013,623,214,1
"494","船舶工学",2013,572,64,1
"495","航空工学",2013,2122,184,1
"496","経営工学",2013,7819,1165,1
"497","工芸学",2013,1449,887,1
"498","その他",2013,69441,16458,1
"499","農学",2013,6992,5058,1
"500","農芸化学",2013,2732,2786,1
"501","農業工学",2013,1909,822,1
"502","農業経済学",2013,1455,1172,1
"503","林学",2013,1348,680,1
"504","林産学",2013,0,0,1
"505","獣医学畜産学",2013,5026,5950,1
"506","水産学",2013,4586,1875,1
"507","その他",2013,18686,14647,1
"508","医学",2013,35885,17084,1
"509","歯学",2013,9211,5793,1
"510","薬学",2013,32162,42624,1
"511","看護学",2013,6930,58823,1
"512","その他",2013,36797,47983,1
"513","商船学",2013,0,0,1
"514","家政学",2013,2343,19237,1
"515","食物学",2013,3601,34088,1
"516","被服学",2013,312,5781,1
"517","住居学",2013,268,952,1
"518","児童学",2013,318,4158,1
"519","その他",2013,0,230,1
"520","教育学",2013,10412,19617,1
"521","小学校課程",2013,5103,5970,1
"522","中学校課程",2013,422,341,1
"523","高等学校課程",2013,0,0,1
"524","特別教科課程",2013,0,0,1
"525","盲学校課程",2013,0,0,1
"526","聾学校課程",2013,0,0,1
"527","中等教育学校課程",2013,2097,1300,1
"528","養護学校課程",2013,1,51,1
"529","幼稚園課程",2013,10,148,1
"530","体育学",2013,21648,12443,1
"531","障害児教育課程",2013,0,2,1
"532","特別支援教育課程",2013,286,1120,1
"533","その他",2013,35153,67659,1
"534","美術",2013,2505,8347,1
"535","デザイン",2013,5055,11036,1
"536","音楽",2013,3679,13677,1
"537","その他",2013,8739,17099,1
"538","教養学",2013,1401,2422,1
"539","総合科学",2013,305,281,1
"540","教養課程（文科）",2013,2383,1504,1
"541","教養課程（理科）",2013,5770,967,1
"542","教養課程（その他）",2013,2165,934,1
"543","人文・社会科学",2013,9826,13444,1
"544","国際関係学（国際関係学部）",2013,4590,7858,1
"545","人間関係科学",2013,6995,4013,1
"546","その他",2013,55420,51200,1
"547","23",2012,1475066,1094283,1
"548","24",2012,1459265,1101644,1
"549","文学",2012,39282,100129,1
"550","史学",2012,13472,12071,1
"551","哲学",2012,18346,27672,1
"552","その他",2012,58222,110094,1
"553","法学・政治学",2012,114305,47860,1
"554","商学・経済学",2012,347257,127454,1
"555","社会学",2012,65828,80748,1
"556","その他",2012,48663,29766,1
"557","数学",2012,13429,3252,1
"558","物理学",2012,11223,1788,1
"559","化学",2012,9268,3751,1
"560","生物学",2012,5430,3692,1
"561","地学",2012,2434,847,1
"562","その他",2012,18056,7820,1
"563","機械工学",2012,68181,2342,1
"564","電気通信工学",2012,112178,8068,1
"565","土木建築工学",2012,47819,9170,1
"566","応用化学",2012,28097,7524,1
"567","応用理学",2012,6576,650,1
"568","原子力工学",2012,374,13,1
"569","鉱山学",2012,0,0,1
"570","金属工学",2012,337,41,1
"571","繊維工学",2012,664,192,1
"572","船舶工学",2012,582,64,1
"573","航空工学",2012,2199,162,1
"574","経営工学",2012,7989,1101,1
"575","工芸学",2012,1446,843,1
"576","その他",2012,68366,15554,1
"577","農学",2012,7126,5070,1
"578","農芸化学",2012,2874,2729,1
"579","農業工学",2012,1964,805,1
"580","農業経済学",2012,1621,1160,1
"581","林学",2012,1319,678,1
"582","林産学",2012,0,0,1
"583","獣医学畜産学",2012,5232,5639,1
"584","水産学",2012,4495,1825,1
"585","その他",2012,18685,14519,1
"586","医学",2012,35039,16611,1
"587","歯学",2012,9395,5800,1
"588","薬学",2012,32024,41611,1
"589","看護学",2012,6369,55469,1
"590","その他",2012,34557,45462,1
"591","商船学",2012,0,0,1
"592","家政学",2012,2635,18992,1
"593","食物学",2012,3554,32791,1
"594","被服学",2012,283,5964,1
"595","住居学",2012,187,1017,1
"596","児童学",2012,335,4276,1
"597","その他",2012,0,232,1
"598","教育学",2012,9939,18913,1
"599","小学校課程",2012,4923,5909,1
"600","中学校課程",2012,484,407,1
"601","高等学校課程",2012,0,0,1
"602","特別教科課程",2012,0,0,1
"603","盲学校課程",2012,0,0,1
"604","聾学校課程",2012,0,0,1
"605","中等教育学校課程",2012,2032,1238,1
"606","養護学校課程",2012,4,51,1
"607","幼稚園課程",2012,9,149,1
"608","体育学",2012,21248,12037,1
"609","障害児教育課程",2012,0,6,1
"610","特別支援教育課程",2012,276,1120,1
"611","その他",2012,34381,65295,1
"612","美術",2012,2547,8499,1
"613","デザイン",2012,5106,11079,1
"614","音楽",2012,3693,14096,1
"615","その他",2012,8855,17054,1
"616","教養学",2012,1147,2103,1
"617","総合科学",2012,297,275,1
"618","教養課程（文科）",2012,2410,1473,1
"619","教養課程（理科）",2012,5663,973,1
"620","教養課程（その他）",2012,2180,954,1
"621","人文・社会科学",2012,9517,13337,1
"622","国際関係学（国際関係学部）",2012,5028,7948,1
"623","人間関係科学",2012,6633,4172,1
"624","その他",2012,55176,51238,1
"625","22",2011,1481409,1077782,1
"626","23",2011,1475066,1094283,1
"627","文学",2011,39483,103180,1
"628","史学",2011,13501,12082,1
"629","哲学",2011,18425,27579,1
"630","その他",2011,58810,112208,1
"631","法学・政治学",2011,117061,48267,1
"632","商学・経済学",2011,358597,127924,1
"633","社会学",2011,67184,81404,1
"634","その他",2011,49152,29584,1
"635","数学",2011,13580,3439,1
"636","物理学",2011,11439,1752,1
"637","化学",2011,9240,3764,1
"638","生物学",2011,5282,3423,1
"639","地学",2011,2378,861,1
"640","その他",2011,18061,7741,1
"641","機械工学",2011,69489,2181,1
"642","電気通信工学",2011,115183,7866,1
"643","土木建築工学",2011,48927,9177,1
"644","応用化学",2011,29043,7271,1
"645","応用理学",2011,6668,625,1
"646","原子力工学",2011,325,14,1
"647","鉱山学",2011,0,0,1
"648","金属工学",2011,332,35,1
"649","繊維工学",2011,711,171,1
"650","船舶工学",2011,575,69,1
"651","航空工学",2011,2461,162,1
"652","経営工学",2011,8354,1092,1
"653","工芸学",2011,1386,860,1
"654","その他",2011,66836,14661,1
"655","農学",2011,7347,5049,1
"656","農芸化学",2011,3095,2814,1
"657","農業工学",2011,1994,767,1
"658","農業経済学",2011,2095,1186,1
"659","林学",2011,1293,687,1
"660","林産学",2011,0,0,1
"661","獣医学畜産学",2011,5471,5352,1
"662","水産学",2011,4515,1745,1
"663","その他",2011,18292,14068,1
"664","医学",2011,34213,16022,1
"665","歯学",2011,9520,5829,1
"666","薬学",2011,31373,40446,1
"667","看護学",2011,5924,51799,1
"668","その他",2011,32482,43178,1
"669","商船学",2011,0,0,1
"670","家政学",2011,2668,18955,1
"671","食物学",2011,3518,31804,1
"672","被服学",2011,274,6174,1
"673","住居学",2011,146,1082,1
"674","児童学",2011,361,4272,1
"675","その他",2011,0,249,1
"676","教育学",2011,9435,18113,1
"677","小学校課程",2011,4805,5754,1
"678","中学校課程",2011,550,467,1
"679","高等学校課程",2011,0,0,1
"680","特別教科課程",2011,0,0,1
"681","盲学校課程",2011,0,0,1
"682","聾学校課程",2011,0,0,1
"683","中等教育学校課程",2011,1933,1229,1
"684","養護学校課程",2011,6,53,1
"685","幼稚園課程",2011,11,148,1
"686","体育学",2011,20522,11605,1
"687","障害児教育課程",2011,42,190,1
"688","特別支援教育課程",2011,225,929,1
"689","その他",2011,33305,63649,1
"690","美術",2011,2702,8981,1
"691","デザイン",2011,5215,11064,1
"692","音楽",2011,3662,14576,1
"693","その他",2011,9061,16812,1
"694","教養学",2011,967,1935,1
"695","総合科学",2011,279,285,1
"696","教養課程（文科）",2011,2004,1423,1
"697","教養課程（理科）",2011,5680,983,1
"698","教養課程（その他）",2011,2095,951,1
"699","人文・社会科学",2011,10093,13107,1
"700","国際関係学（国際関係学部）",2011,5329,8176,1
"701","人間関係科学",2011,6441,4393,1
"702","その他",2011,53640,50590,1
"703","21",2010,1474151,1053168,1
"704","22",2010,1481409,1077782,1
"705","文学",2010,39890,105586,1
"706","史学",2010,13664,12183,1
"707","哲学",2010,17664,26433,1
"708","その他",2010,58881,114263,1
"709","法学・政治学",2010,119479,48945,1
"710","商学・経済学",2010,366325,126167,1
"711","社会学",2010,69105,83443,1
"712","その他",2010,49173,29908,1
"713","数学",2010,13883,3611,1
"714","物理学",2010,11670,1759,1
"715","化学",2010,9261,3818,1
"716","生物学",2010,5010,3220,1
"717","地学",2010,2832,987,1
"718","その他",2010,17761,7613,1
"719","機械工学",2010,71086,2053,1
"720","電気通信工学",2010,118522,7752,1
"721","土木建築工学",2010,50561,9488,1
"722","応用化学",2010,29893,7185,1
"723","応用理学",2010,6218,552,1
"724","原子力工学",2010,225,9,1
"725","鉱山学",2010,0,0,1
"726","金属工学",2010,336,32,1
"727","繊維工学",2010,759,173,1
"728","船舶工学",2010,531,71,1
"729","航空工学",2010,2641,148,1
"730","経営工学",2010,9503,1162,1
"731","工芸学",2010,1356,772,1
"732","その他",2010,65419,14186,1
"733","農学",2010,7559,4912,1
"734","農芸化学",2010,3341,2978,1
"735","農業工学",2010,1960,759,1
"736","農業経済学",2010,2161,1188,1
"737","林学",2010,1263,649,1
"738","林産学",2010,0,0,1
"739","獣医学畜産学",2010,5658,5117,1
"740","水産学",2010,4627,1741,1
"741","その他",2010,18253,13650,1
"742","医学",2010,33636,15510,1
"743","歯学",2010,9844,5945,1
"744","薬学",2010,27468,34279,1
"745","看護学",2010,5536,48154,1
"746","その他",2010,31099,41712,1
"747","商船学",2010,4,0,1
"748","家政学",2010,2495,18884,1
"749","食物学",2010,3494,30362,1
"750","被服学",2010,335,6381,1
"751","住居学",2010,107,1162,1
"752","児童学",2010,384,4363,1
"753","その他",2010,0,193,1
"754","教育学",2010,8901,17087,1
"755","小学校課程",2010,4548,5689,1
