"","year","inst","numx","men","women"
"194",1975,4,2,2541,2139
"195",1975,4,3,2312,1007
"196",1975,4,4,1089,1329
"197",1975,4,5,26976,1965
"198",1975,4,6,77912,2989
"199",1975,4,7,5459,3245
"200",1975,4,8,1447,185
"201",1975,4,9,1119,372
"202",1975,4,10,1348,51
"203",1975,4,11,1162,304
"204",1975,4,12,30,15
"205",1975,4,13,63,6
"206",1975,4,14,569,49
"207",1975,4,15,10808,5
"208",1975,4,16,12178,31
"209",1975,4,17,12609,158
"210",1975,4,18,4136,114
"211",1975,4,19,654,22
"212",1975,4,20,166,0
"213",1975,4,21,55,0
"214",1975,4,22,602,1
"215",1975,4,23,0,0
"216",1975,4,24,205,0
"217",1975,4,25,239,0
"218",1975,4,26,3761,40
"219",1975,4,27,60,9
"220",1975,4,28,692,4
"221",1975,4,29,1114,83
"222",1975,4,30,752,127
"223",1975,4,31,214,2
"224",1975,4,32,907,18
"225",1975,4,33,315,0
"226",1975,4,34,0,0
"227",1975,4,35,1095,131
"228",1975,4,36,651,10
"229",1975,4,37,139,62
"230",1975,4,38,1115,185
"231",1975,4,39,1195,166
"232",1975,4,40,1522,3250
"233",1975,4,41,1,55
"234",1975,4,42,184,367
"235",1975,4,43,0,0
"236",1975,4,44,13,1611
"237",1975,4,45,3,1498
"238",1975,4,46,0,982
"239",1975,4,47,0,134
"240",1975,4,48,0,881
"241",1975,4,49,880,1766
"242",1975,4,50,0,0
"243",1975,4,51,0,0
"244",1975,4,52,0,0
"245",1975,4,53,0,0
"246",1975,4,54,0,0
"247",1975,4,55,0,0
"248",1975,4,56,0,0
"249",1975,4,57,0,0
"250",1975,4,58,2554,916
"251",1975,4,59,0,607
"252",1975,4,60,483,359
"253",1975,4,61,674,328
"254",1975,4,62,350,3255
"255",1975,4,63,942,393
"256",1975,4,64,116,230
"257",1976,1,1,9140,21615
"258",1976,1,2,2862,2682
"259",1976,1,3,2608,1382
"260",1976,1,4,1429,1517
"261",1976,1,5,30165,2329
"262",1976,1,6,87459,3798
"263",1976,1,7,6117,4063
"264",1976,1,8,1847,84
"265",1976,1,9,1957,555
"266",1976,1,10,2289,135
"267",1976,1,11,2036,513
"268",1976,1,12,461,165
"269",1976,1,13,424,33
"270",1976,1,14,1225,166
"271",1976,1,15,14820,12
"272",1976,1,16,16526,42
"273",1976,1,17,16127,187
"274",1976,1,18,7645,164
"275",1976,1,19,1392,21
"276",1976,1,20,373,2
"277",1976,1,21,360,0
"278",1976,1,22,1541,5
"279",1976,1,23,526,25
"280",1976,1,24,423,0
"281",1976,1,25,376,0
"282",1976,1,26,3925,40
"283",1976,1,27,173,31
"284",1976,1,28,1134,18
"285",1976,1,29,2213,294
"286",1976,1,30,1967,366
